Sequence 1, is of length 4080, mapped to Original, on beginning location of: 11173
Sequence 24100, is of length 5766, mapped to Original, on beginning location of: 19397
Sequence 24103, is of length 7787, mapped to Original, on beginning location of: 1866835
Sequence 24106, is of length 5962, mapped to Original, on beginning location of: 4317273
Sequence 24109, is of length 7470, mapped to Original, on beginning location of: 16389
Sequence 24112, is of length 13969, mapped to Original, on beginning location of: 29323
Sequence 24115, is of length 7269, mapped to Complement, on beginning location of: 2787899
Sequence 24118, is of length 5425, mapped to Complement, on beginning location of: 33191
Sequence 24121, is of length 7620, mapped to Original, on beginning location of: 22338
Sequence 24124, is of length 11118, mapped to Complement, on beginning location of: 785
Sequence 24127, is of length 13921, mapped to Original, on beginning location of: 2769710
Sequence 24130, is of length 9958, mapped to Complement, on beginning location of: 10710
Sequence 24133, is of length 8410, mapped to Complement, on beginning location of: 984555
Sequence 24136, is of length 8080, mapped to Complement, on beginning location of: 45859
Sequence 24139, is of length 2675, mapped to Original, on beginning location of: 850387
Sequence 24142, is of length 7023, mapped to Complement, on beginning location of: 1756195
Sequence 24145, is of length 11106, mapped to Original, on beginning location of: 2748375
Sequence 24148, is of length 13280, mapped to Complement, on beginning location of: 2803975
Sequence 24151, is of length 17185, mapped to Original, on beginning location of: 1568349
Sequence 24154, is of length 7713, mapped to Original, on beginning location of: 19398
Sequence 24157, is of length 13829, mapped to Complement, on beginning location of: 27475
Sequence 24160, is of length 12067, mapped to Original, on beginning location of: 3684291
Sequence 24163, is of length 3427, mapped to Complement, on beginning location of: 2234477
Sequence 24166, is of length 6750, mapped to Complement, on beginning location of: 13582
Sequence 24169, is of length 3703, mapped to Original, on beginning location of: 34041
Sequence 24172, is of length 5376, mapped to Complement, on beginning location of: 15697
Sequence 24175, is of length 15886, mapped to Original, on beginning location of: 1034011
Sequence 24178, is of length 4868, mapped to Original, on beginning location of: 8516
Sequence 24181, is of length 5722, mapped to Original, on beginning location of: 2394060
Sequence 24184, is of length 14685, mapped to Complement, on beginning location of: 46291
Sequence 24187, is of length 5453, mapped to Original, on beginning location of: 20714
Sequence 24190, is of length 2439, mapped to Complement, on beginning location of: 524428
Sequence 24193, is of length 3431, mapped to Original, on beginning location of: 1281465
Sequence 24196, is of length 11028, mapped to Complement, on beginning location of: 888456
Sequence 24199, is of length 8608, mapped to Original, on beginning location of: 3678877
Sequence 24202, is of length 7438, mapped to Original, on beginning location of: 1021135
Sequence 24205, is of length 16381, mapped to Complement, on beginning location of: 3933947
Sequence 24208, is of length 8203, mapped to Original, on beginning location of: 4326555
Sequence 24211, is of length 9172, mapped to Original, on beginning location of: 4396728
Sequence 24214, is of length 2796, mapped to Complement, on beginning location of: 391496
Sequence 24217, is of length 7511, mapped to Complement, on beginning location of: 1066263
Sequence 24220, is of length 1032, mapped to Original, on beginning location of: 35681
Sequence 24223, is of length 5631, mapped to Original, on beginning location of: 3868513
Sequence 24226, is of length 7155, mapped to Complement, on beginning location of: 14256
Sequence 24229, is of length 6383, mapped to Original, on beginning location of: 3580586
Sequence 24232, is of length 8299, mapped to Complement, on beginning location of: 2257844
Sequence 24235, is of length 13660, mapped to Complement, on beginning location of: 3219
Sequence 24238, is of length 11034, mapped to Complement, on beginning location of: 27131
Sequence 24241, is of length 12316, mapped to Complement, on beginning location of: 1781131
Sequence 24244, is of length 7744, mapped to Original, on beginning location of: 773414
Sequence 24247, is of length 12424, mapped to Original, on beginning location of: 4391995
Sequence 24250, is of length 7149, mapped to Original, on beginning location of: 2630688
Sequence 24256, is of length 6766, mapped to Complement, on beginning location of: 437574
Sequence 24259, is of length 8748, mapped to Complement, on beginning location of: 301388
Sequence 24262, is of length 3269, mapped to Original, on beginning location of: 4361672
Sequence 24265, is of length 11440, mapped to Original, on beginning location of: 37442
Sequence 24268, is of length 10255, mapped to Complement, on beginning location of: 178885
Sequence 24271, is of length 6315, mapped to Complement, on beginning location of: 18200
Sequence 24274, is of length 11421, mapped to Complement, on beginning location of: 720005
Sequence 24277, is of length 7205, mapped to Original, on beginning location of: 29881
Sequence 24280, is of length 10354, mapped to Original, on beginning location of: 342278
Sequence 24283, is of length 13369, mapped to Complement, on beginning location of: 1589354
Sequence 24286, is of length 12391, mapped to Original, on beginning location of: 370444
Sequence 24289, is of length 5709, mapped to Original, on beginning location of: 13672
Sequence 24292, is of length 14686, mapped to Complement, on beginning location of: 11063
Sequence 24295, is of length 8621, mapped to Complement, on beginning location of: 12031
Sequence 24298, is of length 7205, mapped to Complement, on beginning location of: 18818
Sequence 24301, is of length 6380, mapped to Complement, on beginning location of: 3782125
Sequence 24304, is of length 9363, mapped to Original, on beginning location of: 37462
Sequence 24307, is of length 5997, mapped to Complement, on beginning location of: 46300
Sequence 24310, is of length 7515, mapped to Original, on beginning location of: 17247
Sequence 24313, is of length 12504, mapped to Complement, on beginning location of: 12577
Sequence 24316, is of length 8341, mapped to Complement, on beginning location of: 5324
Sequence 24319, is of length 11931, mapped to Original, on beginning location of: 3227988
Sequence 24322, is of length 1603, mapped to Original, on beginning location of: 3001214
Sequence 24325, is of length 7829, mapped to Complement, on beginning location of: 1954645
Sequence 24328, is of length 2068, mapped to Complement, on beginning location of: 31337
Sequence 24331, is of length 10997, mapped to Complement, on beginning location of: 45334
Sequence 24334, is of length 15105, mapped to Original, on beginning location of: 756352
Sequence 24337, is of length 10920, mapped to Complement, on beginning location of: 18032
Sequence 24340, is of length 8147, mapped to Complement, on beginning location of: 1171410
Sequence 24343, is of length 14757, mapped to Complement, on beginning location of: 15361
Sequence 24346, is of length 7034, mapped to Original, on beginning location of: 3176671
Sequence 24349, is of length 2651, mapped to Complement, on beginning location of: 4142699
Sequence 24352, is of length 3321, mapped to Complement, on beginning location of: 2238640
Sequence 24355, is of length 2550, mapped to Original, on beginning location of: 3719612
Sequence 24358, is of length 11532, mapped to Original, on beginning location of: 1844
Sequence 24361, is of length 22911, mapped to Complement, on beginning location of: 44979
Sequence 24364, is of length 14871, mapped to Original, on beginning location of: 10587
Sequence 24367, is of length 7540, mapped to Complement, on beginning location of: 3577831
Sequence 24370, is of length 8718, mapped to Complement, on beginning location of: 1798547
Sequence 24373, is of length 11278, mapped to Complement, on beginning location of: 4301732
Sequence 24376, is of length 11269, mapped to Original, on beginning location of: 132956
Sequence 24379, is of length 3858, mapped to Original, on beginning location of: 1791859
Sequence 24382, is of length 7046, mapped to Original, on beginning location of: 2630688
Sequence 24385, is of length 1919, mapped to Original, on beginning location of: 2453061
Sequence 24388, is of length 3258, mapped to Complement, on beginning location of: 842886
Sequence 24391, is of length 6715, mapped to Complement, on beginning location of: 2694993
Sequence 24394, is of length 5487, mapped to Original, on beginning location of: 1589354
Sequence 24397, is of length 5184, mapped to Complement, on beginning location of: 424
Sequence 24400, is of length 10143, mapped to Original, on beginning location of: 4393270
Sequence 24403, is of length 1315, mapped to Original, on beginning location of: 27780
Sequence 24406, is of length 6026, mapped to Original, on beginning location of: 3077373
Sequence 24409, is of length 11072, mapped to Complement, on beginning location of: 2234477
Sequence 24412, is of length 9310, mapped to Original, on beginning location of: 2314734
Sequence 24415, is of length 1461, mapped to Original, on beginning location of: 3711220
Sequence 24418, is of length 7110, mapped to Original, on beginning location of: 2618006
Sequence 24421, is of length 1708, mapped to Original, on beginning location of: 1094196
Sequence 24424, is of length 7790, mapped to Original, on beginning location of: 4452454
Sequence 24427, is of length 7409, mapped to Original, on beginning location of: 1468176
Sequence 24430, is of length 3687, mapped to Complement, on beginning location of: 3087829
Sequence 24433, is of length 12028, mapped to Original, on beginning location of: 1760640
Sequence 24436, is of length 12645, mapped to Original, on beginning location of: 31771
Sequence 24439, is of length 19637, mapped to Original, on beginning location of: 37218
Sequence 24442, is of length 4453, mapped to Original, on beginning location of: 2157043
Sequence 24445, is of length 12680, mapped to Original, on beginning location of: 460094
Sequence 24448, is of length 9005, mapped to Original, on beginning location of: 17453
Sequence 24451, is of length 11330, mapped to Complement, on beginning location of: 2585728
Sequence 24454, is of length 6069, mapped to Complement, on beginning location of: 3718039
Sequence 24457, is of length 11838, mapped to Complement, on beginning location of: 44508
Sequence 24460, is of length 6907, mapped to Complement, on beginning location of: 2273853
Sequence 24463, is of length 12282, mapped to Original, on beginning location of: 20501
Sequence 24466, is of length 5962, mapped to Original, on beginning location of: 1683320
Sequence 24469, is of length 3869, mapped to Complement, on beginning location of: 3298172
Sequence 24472, is of length 3399, mapped to Complement, on beginning location of: 2650866
Sequence 24475, is of length 16211, mapped to Original, on beginning location of: 964500
Sequence 24478, is of length 6094, mapped to Original, on beginning location of: 1295737
Sequence 24481, is of length 9063, mapped to Complement, on beginning location of: 2661361
Sequence 24484, is of length 11909, mapped to Complement, on beginning location of: 28523
Sequence 24487, is of length 7704, mapped to Complement, on beginning location of: 2163759
Sequence 24490, is of length 5047, mapped to Original, on beginning location of: 2564920
Sequence 24493, is of length 13008, mapped to Complement, on beginning location of: 6771
Sequence 24496, is of length 9922, mapped to Original, on beginning location of: 4137782
Sequence 24499, is of length 6053, mapped to Complement, on beginning location of: 30072
Sequence 24502, is of length 9517, mapped to Original, on beginning location of: 2516045
Sequence 24505, is of length 12114, mapped to Complement, on beginning location of: 19665
Sequence 24508, is of length 12114, mapped to Original, on beginning location of: 3002845
Sequence 24511, is of length 5713, mapped to Complement, on beginning location of: 3522839
Sequence 24514, is of length 6405, mapped to Complement, on beginning location of: 12594
Sequence 24517, is of length 6032, mapped to Original, on beginning location of: 38715
Sequence 24520, is of length 10167, mapped to Original, on beginning location of: 2429134
Sequence 24523, is of length 9570, mapped to Original, on beginning location of: 18896
Sequence 24526, is of length 2672, mapped to Original, on beginning location of: 4338104
Sequence 24529, is of length 6606, mapped to Original, on beginning location of: 41960
Sequence 24532, is of length 6702, mapped to Complement, on beginning location of: 822576
Sequence 24535, is of length 5979, mapped to Original, on beginning location of: 20211
Sequence 24538, is of length 6811, mapped to Original, on beginning location of: 3987113
Sequence 24541, is of length 8314, mapped to Complement, on beginning location of: 153891
Sequence 24544, is of length 8141, mapped to Original, on beginning location of: 15174
Sequence 24547, is of length 1701, mapped to Original, on beginning location of: 17756
Sequence 24550, is of length 10487, mapped to Complement, on beginning location of: 2814695
Sequence 24553, is of length 2845, mapped to Original, on beginning location of: 820685
Sequence 24556, is of length 7912, mapped to Original, on beginning location of: 1185649
Sequence 24559, is of length 9781, mapped to Complement, on beginning location of: 841832
Sequence 24562, is of length 15792, mapped to Complement, on beginning location of: 956115
Sequence 24565, is of length 6581, mapped to Original, on beginning location of: 25603
Sequence 24568, is of length 4690, mapped to Complement, on beginning location of: 28488
Sequence 24571, is of length 9647, mapped to Original, on beginning location of: 3562490
Sequence 24574, is of length 3947, mapped to Complement, on beginning location of: 1021353
Sequence 24577, is of length 11240, mapped to Complement, on beginning location of: 2784
Sequence 24580, is of length 3041, mapped to Original, on beginning location of: 30560
Sequence 24583, is of length 14080, mapped to Complement, on beginning location of: 14575
Sequence 24586, is of length 8577, mapped to Complement, on beginning location of: 31389
Sequence 24589, is of length 6906, mapped to Complement, on beginning location of: 6190
Sequence 24592, is of length 1892, mapped to Complement, on beginning location of: 3077860
Sequence 24595, is of length 6838, mapped to Complement, on beginning location of: 1245163
Sequence 24598, is of length 13344, mapped to Complement, on beginning location of: 42730
Sequence 24601, is of length 9010, mapped to Complement, on beginning location of: 4360908
Sequence 24604, is of length 9204, mapped to Original, on beginning location of: 36626
Sequence 24607, is of length 9552, mapped to Complement, on beginning location of: 3390741
Sequence 24610, is of length 8560, mapped to Original, on beginning location of: 15556
Sequence 24613, is of length 6288, mapped to Original, on beginning location of: 3293806
Sequence 24616, is of length 5898, mapped to Complement, on beginning location of: 902
Sequence 24619, is of length 2493, mapped to Complement, on beginning location of: 1288086
Sequence 24622, is of length 7302, mapped to Complement, on beginning location of: 4615955
Sequence 24625, is of length 12267, mapped to Original, on beginning location of: 18433
Sequence 24628, is of length 6654, mapped to Complement, on beginning location of: 2837449
Sequence 24631, is of length 10027, mapped to Complement, on beginning location of: 42718
Sequence 24634, is of length 10737, mapped to Complement, on beginning location of: 1289622
Sequence 24637, is of length 7881, mapped to Original, on beginning location of: 3344278
Sequence 24640, is of length 12612, mapped to Original, on beginning location of: 158834
Sequence 24643, is of length 17599, mapped to Original, on beginning location of: 2949332
Sequence 24646, is of length 7707, mapped to Original, on beginning location of: 22394
Sequence 24649, is of length 3057, mapped to Complement, on beginning location of: 1721554
Sequence 24652, is of length 12327, mapped to Complement, on beginning location of: 738359
Sequence 24655, is of length 1867, mapped to Original, on beginning location of: 37227
Sequence 24658, is of length 8333, mapped to Original, on beginning location of: 35868
Sequence 24661, is of length 11288, mapped to Complement, on beginning location of: 2195
Sequence 24664, is of length 15749, mapped to Complement, on beginning location of: 21678
Sequence 24667, is of length 3865, mapped to Original, on beginning location of: 1205337
Sequence 24670, is of length 8289, mapped to Original, on beginning location of: 4019287
Sequence 24673, is of length 11033, mapped to Original, on beginning location of: 1273892
Sequence 24676, is of length 10402, mapped to Original, on beginning location of: 860777
Sequence 24679, is of length 11369, mapped to Complement, on beginning location of: 3987669
Sequence 24682, is of length 9614, mapped to Complement, on beginning location of: 611645
Sequence 24685, is of length 8509, mapped to Original, on beginning location of: 2812249
Sequence 24688, is of length 6321, mapped to Original, on beginning location of: 4102507
Sequence 24691, is of length 7366, mapped to Original, on beginning location of: 31696
Sequence 24694, is of length 5007, mapped to Complement, on beginning location of: 30952
Sequence 24697, is of length 4117, mapped to Complement, on beginning location of: 4305009
Sequence 24700, is of length 12331, mapped to Complement, on beginning location of: 8864
Sequence 24703, is of length 10727, mapped to Original, on beginning location of: 3323756
Sequence 24706, is of length 2075, mapped to Original, on beginning location of: 815868
Sequence 24709, is of length 10393, mapped to Complement, on beginning location of: 3180868
Sequence 24712, is of length 7805, mapped to Original, on beginning location of: 1717179
Sequence 24715, is of length 10278, mapped to Complement, on beginning location of: 26212
Sequence 24718, is of length 4334, mapped to Complement, on beginning location of: 1319484
Sequence 24721, is of length 3155, mapped to Original, on beginning location of: 4121410
Sequence 24724, is of length 9353, mapped to Original, on beginning location of: 3142260
Sequence 24727, is of length 14921, mapped to Complement, on beginning location of: 6787
Sequence 24730, is of length 11625, mapped to Original, on beginning location of: 10600
Sequence 24733, is of length 19934, mapped to Original, on beginning location of: 9765
Sequence 24736, is of length 7317, mapped to Original, on beginning location of: 4523
Sequence 24739, is of length 7544, mapped to Original, on beginning location of: 3640929
Sequence 24742, is of length 9015, mapped to Complement, on beginning location of: 14276
Sequence 24745, is of length 9756, mapped to Original, on beginning location of: 661349
Sequence 24748, is of length 10876, mapped to Original, on beginning location of: 10961
Sequence 24751, is of length 8590, mapped to Complement, on beginning location of: 4464829
Sequence 24754, is of length 7172, mapped to Original, on beginning location of: 3825495
Sequence 24757, is of length 4439, mapped to Original, on beginning location of: 2961188
Sequence 24760, is of length 7658, mapped to Original, on beginning location of: 218520
Sequence 24763, is of length 8228, mapped to Complement, on beginning location of: 44747
Sequence 24766, is of length 7540, mapped to Complement, on beginning location of: 4095009
Sequence 24769, is of length 5796, mapped to Original, on beginning location of: 708505
Sequence 24772, is of length 2186, mapped to Complement, on beginning location of: 1762867
Sequence 24775, is of length 14047, mapped to Complement, on beginning location of: 1932925
Sequence 24778, is of length 12899, mapped to Original, on beginning location of: 2067602
Sequence 24781, is of length 11083, mapped to Complement, on beginning location of: 3100
Sequence 24784, is of length 3822, mapped to Original, on beginning location of: 1205337
Sequence 24787, is of length 2319, mapped to Complement, on beginning location of: 2934975
Sequence 24790, is of length 9540, mapped to Complement, on beginning location of: 921211
Sequence 24793, is of length 6829, mapped to Complement, on beginning location of: 38497
Sequence 24796, is of length 4888, mapped to Original, on beginning location of: 386598
Sequence 24799, is of length 8930, mapped to Original, on beginning location of: 4367140
Sequence 24802, is of length 7566, mapped to Complement, on beginning location of: 1355
Sequence 24805, is of length 4711, mapped to Complement, on beginning location of: 18833
Sequence 24808, is of length 9155, mapped to Complement, on beginning location of: 25171
Sequence 24811, is of length 9088, mapped to Original, on beginning location of: 3476
Sequence 24814, is of length 10798, mapped to Original, on beginning location of: 11905
Sequence 24817, is of length 10220, mapped to Original, on beginning location of: 12971
Sequence 24820, is of length 6132, mapped to Complement, on beginning location of: 3022534
Sequence 24823, is of length 3069, mapped to Complement, on beginning location of: 2793501
Sequence 24826, is of length 7717, mapped to Complement, on beginning location of: 32520
Sequence 24829, is of length 6270, mapped to Complement, on beginning location of: 46333
Sequence 24832, is of length 4607, mapped to Complement, on beginning location of: 42154
Sequence 24835, is of length 7094, mapped to Complement, on beginning location of: 13385
Sequence 24838, is of length 5287, mapped to Complement, on beginning location of: 2749278
Sequence 24841, is of length 7002, mapped to Original, on beginning location of: 4505020
Sequence 24844, is of length 2250, mapped to Complement, on beginning location of: 1825183
Sequence 24847, is of length 9834, mapped to Original, on beginning location of: 30417
Sequence 24850, is of length 4188, mapped to Original, on beginning location of: 2449795
Sequence 24853, is of length 8862, mapped to Complement, on beginning location of: 40054
Sequence 24856, is of length 9460, mapped to Complement, on beginning location of: 3954019
Sequence 24859, is of length 7580, mapped to Complement, on beginning location of: 1320114
Sequence 24862, is of length 1815, mapped to Original, on beginning location of: 31768
Sequence 24865, is of length 2172, mapped to Original, on beginning location of: 20683
Sequence 24868, is of length 4275, mapped to Original, on beginning location of: 176019
Sequence 24871, is of length 8400, mapped to Original, on beginning location of: 3842083
Sequence 24874, is of length 6797, mapped to Complement, on beginning location of: 3471
Sequence 24877, is of length 9100, mapped to Complement, on beginning location of: 128862
Sequence 24880, is of length 9534, mapped to Complement, on beginning location of: 715319
Sequence 24883, is of length 7556, mapped to Complement, on beginning location of: 607805
Sequence 24886, is of length 7193, mapped to Complement, on beginning location of: 3587527
Sequence 24889, is of length 5611, mapped to Original, on beginning location of: 2282044
Sequence 24892, is of length 7464, mapped to Complement, on beginning location of: 31763
Sequence 24895, is of length 7668, mapped to Complement, on beginning location of: 1495142
Sequence 24898, is of length 9759, mapped to Original, on beginning location of: 1008607
Sequence 24901, is of length 9058, mapped to Original, on beginning location of: 3248853
Sequence 24904, is of length 8932, mapped to Complement, on beginning location of: 2825750
Sequence 24907, is of length 13212, mapped to Complement, on beginning location of: 2802894
Sequence 24910, is of length 13130, mapped to Complement, on beginning location of: 71814
Sequence 24913, is of length 2928, mapped to Original, on beginning location of: 862562
Sequence 24916, is of length 7205, mapped to Original, on beginning location of: 26549
Sequence 24919, is of length 10491, mapped to Original, on beginning location of: 41040
Sequence 24922, is of length 8043, mapped to Original, on beginning location of: 698509
Sequence 24925, is of length 14192, mapped to Complement, on beginning location of: 717334
Sequence 24928, is of length 9269, mapped to Complement, on beginning location of: 2167434
Sequence 24931, is of length 3224, mapped to Original, on beginning location of: 15557
Sequence 24934, is of length 6095, mapped to Complement, on beginning location of: 2144
Sequence 24937, is of length 6280, mapped to Original, on beginning location of: 3197
Sequence 24940, is of length 8345, mapped to Complement, on beginning location of: 928753
Sequence 24943, is of length 8233, mapped to Complement, on beginning location of: 3844624
Sequence 24946, is of length 6787, mapped to Original, on beginning location of: 14022
Sequence 24949, is of length 5611, mapped to Complement, on beginning location of: 44948
Sequence 24952, is of length 8722, mapped to Original, on beginning location of: 2238640
Sequence 24955, is of length 10836, mapped to Complement, on beginning location of: 2662825
Sequence 24958, is of length 18048, mapped to Complement, on beginning location of: 3436829
Sequence 24961, is of length 7659, mapped to Complement, on beginning location of: 4189154
Sequence 24964, is of length 2244, mapped to Complement, on beginning location of: 2591740
Sequence 24967, is of length 4714, mapped to Complement, on beginning location of: 1090089
Sequence 24970, is of length 7187, mapped to Original, on beginning location of: 15416
Sequence 24973, is of length 7294, mapped to Original, on beginning location of: 2328285
Sequence 24976, is of length 8762, mapped to Original, on beginning location of: 2716043
Sequence 24979, is of length 13772, mapped to Complement, on beginning location of: 43311
Sequence 24982, is of length 6970, mapped to Original, on beginning location of: 32038
Sequence 24985, is of length 8449, mapped to Original, on beginning location of: 3991241
Sequence 24988, is of length 6057, mapped to Complement, on beginning location of: 3365047
Sequence 24991, is of length 4246, mapped to Complement, on beginning location of: 41277
Sequence 24994, is of length 4190, mapped to Complement, on beginning location of: 3409262
Sequence 24997, is of length 8834, mapped to Original, on beginning location of: 2842163
Sequence 25000, is of length 10211, mapped to Original, on beginning location of: 4343
Sequence 25003, is of length 5798, mapped to Original, on beginning location of: 1804818
Sequence 25006, is of length 9340, mapped to Complement, on beginning location of: 4015928
Sequence 25009, is of length 6068, mapped to Original, on beginning location of: 19397
Sequence 25012, is of length 9090, mapped to Original, on beginning location of: 14949
Sequence 25015, is of length 4060, mapped to Complement, on beginning location of: 19809
Sequence 25018, is of length 2587, mapped to Complement, on beginning location of: 1046695
Sequence 25021, is of length 7969, mapped to Complement, on beginning location of: 20714
Sequence 25024, is of length 10825, mapped to Original, on beginning location of: 2614484
Sequence 25027, is of length 8611, mapped to Original, on beginning location of: 11447
Sequence 25030, is of length 8161, mapped to Complement, on beginning location of: 3929846
Sequence 25033, is of length 9584, mapped to Original, on beginning location of: 2963564
Sequence 25036, is of length 4973, mapped to Original, on beginning location of: 4355642
Sequence 25039, is of length 6726, mapped to Complement, on beginning location of: 28528
Sequence 25042, is of length 1248, mapped to Original, on beginning location of: 1913497
Sequence 25045, is of length 4659, mapped to Complement, on beginning location of: 1562963
Sequence 25048, is of length 8083, mapped to Original, on beginning location of: 16483
Sequence 25051, is of length 3747, mapped to Original, on beginning location of: 4145292
Sequence 25054, is of length 1882, mapped to Original, on beginning location of: 2751503
Sequence 25057, is of length 5833, mapped to Original, on beginning location of: 2498483
Sequence 25060, is of length 9297, mapped to Complement, on beginning location of: 920338
Sequence 25063, is of length 6374, mapped to Original, on beginning location of: 2749818
Sequence 25066, is of length 8320, mapped to Complement, on beginning location of: 39834
Sequence 25069, is of length 13159, mapped to Complement, on beginning location of: 4454213
Sequence 25072, is of length 6127, mapped to Original, on beginning location of: 11062
Sequence 25075, is of length 8740, mapped to Original, on beginning location of: 12340
Sequence 25078, is of length 20071, mapped to Complement, on beginning location of: 1280
Sequence 25081, is of length 6368, mapped to Original, on beginning location of: 10710
Sequence 25084, is of length 7122, mapped to Original, on beginning location of: 705557
Sequence 25087, is of length 17879, mapped to Original, on beginning location of: 2900844
Sequence 25090, is of length 7186, mapped to Complement, on beginning location of: 40271
Sequence 25093, is of length 6808, mapped to Complement, on beginning location of: 16483
Sequence 25096, is of length 16679, mapped to Complement, on beginning location of: 21246
Sequence 25099, is of length 12688, mapped to Original, on beginning location of: 3346905
Sequence 25102, is of length 8054, mapped to Complement, on beginning location of: 3078650
Sequence 25105, is of length 6254, mapped to Complement, on beginning location of: 42973
Sequence 25108, is of length 12377, mapped to Original, on beginning location of: 30690
Sequence 25111, is of length 3298, mapped to Complement, on beginning location of: 3219624
Sequence 25114, is of length 5534, mapped to Complement, on beginning location of: 41134
Sequence 25117, is of length 12000, mapped to Original, on beginning location of: 1493669
Sequence 25120, is of length 6646, mapped to Complement, on beginning location of: 20995
Sequence 25123, is of length 6109, mapped to Original, on beginning location of: 34712
Sequence 25126, is of length 9401, mapped to Original, on beginning location of: 91679
Sequence 25129, is of length 7468, mapped to Original, on beginning location of: 31696
Sequence 25132, is of length 9797, mapped to Original, on beginning location of: 10131
Sequence 25135, is of length 7920, mapped to Complement, on beginning location of: 617933
Sequence 25138, is of length 7495, mapped to Complement, on beginning location of: 2245439
Sequence 25141, is of length 6441, mapped to Original, on beginning location of: 3293806
Sequence 25144, is of length 9022, mapped to Complement, on beginning location of: 3006139
Sequence 25147, is of length 4678, mapped to Original, on beginning location of: 4517644
Sequence 25150, is of length 17366, mapped to Original, on beginning location of: 2638597
Sequence 25153, is of length 8989, mapped to Complement, on beginning location of: 23076
Sequence 25156, is of length 14167, mapped to Original, on beginning location of: 1889829
Sequence 25159, is of length 8719, mapped to Original, on beginning location of: 22831
Sequence 25162, is of length 2750, mapped to Complement, on beginning location of: 653229
Sequence 25165, is of length 2274, mapped to Original, on beginning location of: 33469
Sequence 25168, is of length 1788, mapped to Original, on beginning location of: 29664
Sequence 25171, is of length 7064, mapped to Original, on beginning location of: 1667045
Sequence 25174, is of length 7324, mapped to Original, on beginning location of: 2959181
Sequence 25177, is of length 6594, mapped to Complement, on beginning location of: 23820
Sequence 25180, is of length 17777, mapped to Complement, on beginning location of: 43990
Sequence 25183, is of length 6128, mapped to Original, on beginning location of: 4203946
Sequence 25186, is of length 6535, mapped to Complement, on beginning location of: 39889
Sequence 25189, is of length 5870, mapped to Complement, on beginning location of: 20740
Sequence 25192, is of length 9543, mapped to Complement, on beginning location of: 21948
Sequence 25195, is of length 1331, mapped to Complement, on beginning location of: 31768
Sequence 25198, is of length 8232, mapped to Original, on beginning location of: 3842083
Sequence 25201, is of length 9625, mapped to Original, on beginning location of: 23562
Sequence 25204, is of length 8126, mapped to Original, on beginning location of: 21948
Sequence 25207, is of length 15425, mapped to Original, on beginning location of: 8895
Sequence 25210, is of length 8180, mapped to Complement, on beginning location of: 668
Sequence 25213, is of length 6710, mapped to Complement, on beginning location of: 2576324
Sequence 25216, is of length 4048, mapped to Complement, on beginning location of: 2928899
Sequence 25219, is of length 10113, mapped to Complement, on beginning location of: 31652
Sequence 25222, is of length 7022, mapped to Original, on beginning location of: 3986484
Sequence 25225, is of length 8598, mapped to Complement, on beginning location of: 39134
Sequence 25228, is of length 4152, mapped to Complement, on beginning location of: 4305009
Sequence 25231, is of length 9027, mapped to Original, on beginning location of: 1494945
Sequence 25234, is of length 11303, mapped to Original, on beginning location of: 1258913
Sequence 25237, is of length 6353, mapped to Original, on beginning location of: 4119644
Sequence 25240, is of length 10274, mapped to Complement, on beginning location of: 2553022
Sequence 25243, is of length 11227, mapped to Complement, on beginning location of: 172567
Sequence 25246, is of length 5713, mapped to Original, on beginning location of: 3448028
Sequence 25249, is of length 12925, mapped to Original, on beginning location of: 3121083
Sequence 25252, is of length 6451, mapped to Original, on beginning location of: 3936801
Sequence 25255, is of length 8407, mapped to Complement, on beginning location of: 1301748
Sequence 25258, is of length 11451, mapped to Complement, on beginning location of: 3259782
Sequence 25261, is of length 9050, mapped to Complement, on beginning location of: 937699
Sequence 25264, is of length 1844, mapped to Original, on beginning location of: 3547152
Sequence 25267, is of length 10988, mapped to Complement, on beginning location of: 22515
Sequence 25270, is of length 10385, mapped to Complement, on beginning location of: 9094
Sequence 25273, is of length 7560, mapped to Original, on beginning location of: 38939
Sequence 25276, is of length 5898, mapped to Complement, on beginning location of: 987927
Sequence 25279, is of length 16211, mapped to Complement, on beginning location of: 8687
Sequence 25282, is of length 8696, mapped to Original, on beginning location of: 31768
Sequence 25285, is of length 4967, mapped to Complement, on beginning location of: 43311
Sequence 25288, is of length 12551, mapped to Complement, on beginning location of: 1154733
Sequence 25291, is of length 10785, mapped to Original, on beginning location of: 42835
Sequence 25294, is of length 5948, mapped to Complement, on beginning location of: 3133731
Sequence 25297, is of length 4551, mapped to Complement, on beginning location of: 271732
Sequence 25300, is of length 2614, mapped to Original, on beginning location of: 2657871
Sequence 25303, is of length 11243, mapped to Complement, on beginning location of: 481447
Sequence 25306, is of length 8104, mapped to Complement, on beginning location of: 2679
Sequence 25309, is of length 11687, mapped to Original, on beginning location of: 43186
Sequence 25312, is of length 1383, mapped to Original, on beginning location of: 420594
Sequence 25315, is of length 26152, mapped to Complement, on beginning location of: 1697
Sequence 25318, is of length 9564, mapped to Original, on beginning location of: 1008607
Sequence 25321, is of length 8361, mapped to Original, on beginning location of: 1232073
Sequence 25324, is of length 11059, mapped to Original, on beginning location of: 4193778
Sequence 25327, is of length 2348, mapped to Original, on beginning location of: 4391634
Sequence 25330, is of length 3691, mapped to Original, on beginning location of: 34041
Sequence 25333, is of length 13223, mapped to Original, on beginning location of: 5642
